date,open,high,low,close,volume
2025-08-14,7.360000133514404,7.53000020980835,7.28000020980835,7.5,959500
2025-08-15,7.480000019073486,7.510000228881836,7.329999923706055,7.420000076293945,992900
2025-08-18,7.460000038146973,7.679999828338623,7.460000038146973,7.590000152587891,1382200
2025-08-19,7.590000152587891,7.78000020980835,7.539999961853027,7.590000152587891,2606300
2025-08-20,7.550000190734863,7.650000095367432,7.239999771118164,7.489999771118164,1726900
2025-08-21,7.420000076293945,7.53000020980835,7.360000133514404,7.5,652300
2025-08-22,7.519999980926514,7.989999771118164,7.510000228881836,7.820000171661377,1028100
2025-08-25,7.800000190734863,7.869999885559082,7.769999980926514,7.769999980926514,649100
2025-08-26,7.809999942779541,8.34000015258789,7.800000190734863,8.180000305175781,1842600
2025-08-27,8.130000114440918,8.489999771118164,8.100000381469727,8.470000267028809,1606000
2025-08-28,8.510000228881836,8.75,8.5,8.640000343322754,1760000
2025-08-29,8.550000190734863,8.59000015258789,8.069999694824219,8.140000343322754,1398500
2025-09-02,8.0,8.149999618530273,7.96999979019165,8.079999923706055,776600
2025-09-03,8.140000343322754,8.289999961853027,8.130000114440918,8.210000038146973,760500
2025-09-04,8.180000305175781,8.350000381469727,8.09000015258789,8.319999694824219,536500
2025-09-05,8.489999771118164,8.59000015258789,8.3100004196167,8.390000343322754,678900
2025-09-08,8.460000038146973,8.520000457763672,8.289999961853027,8.430000305175781,732000
2025-09-09,8.479999542236328,8.479999542236328,8.300000190734863,8.380000114440918,659000
2025-09-10,8.350000381469727,8.65999984741211,8.329999923706055,8.460000038146973,1082700
2025-09-11,8.460000038146973,8.5600004196167,8.319999694824219,8.329999923706055,725800
2025-09-12,8.329999923706055,8.329999923706055,8.229999542236328,8.270000457763672,607800
2025-09-15,8.3100004196167,8.40999984741211,8.25,8.300000190734863,684200
2025-09-16,8.270000457763672,8.279999732971191,8.149999618530273,8.260000228881836,862300
2025-09-17,8.1899995803833,8.539999961853027,8.130000114440918,8.4399995803833,977900
2025-09-18,8.579999923706055,8.880000114440918,8.479999542236328,8.779999732971191,1581100
2025-09-19,8.779999732971191,8.8100004196167,8.479999542236328,8.5,1852100
2025-09-22,8.529999732971191,8.899999618530273,8.4399995803833,8.859999656677246,921900
2025-09-23,8.899999618530273,9.010000228881836,8.6899995803833,8.6899995803833,1440100
2025-09-24,8.760000228881836,8.869999885559082,8.630000114440918,8.789999961853027,1016600
2025-09-25,8.59000015258789,8.75,8.470000267028809,8.649999618530273,1007700
2025-09-26,8.680000305175781,8.699999809265137,8.489999771118164,8.539999961853027,660200
2025-09-29,8.630000114440918,8.84000015258789,8.609999656677246,8.65999984741211,629900
2025-09-30,8.649999618530273,8.84000015258789,8.520000457763672,8.829999923706055,743100
2025-10-01,8.760000228881836,8.84000015258789,8.600000381469727,8.640000343322754,957000
2025-10-02,8.770000457763672,8.800000190734863,8.550000190734863,8.670000076293945,1015400
2025-10-03,8.739999771118164,8.880000114440918,8.569999694824219,8.630000114440918,614200
2025-10-06,8.789999961853027,9.239999771118164,8.699999809265137,9.170000076293945,1446500
2025-10-07,9.229999542236328,9.3100004196167,8.949999809265137,8.989999771118164,980200
2025-10-08,9.029999732971191,9.119999885559082,8.920000076293945,9.029999732971191,656700
2025-10-09,9.050000190734863,9.220000267028809,8.90999984741211,8.9399995803833,712100
2025-10-10,8.979999542236328,9.050000190734863,8.119999885559082,8.130000114440918,2109400
2025-10-13,8.430000305175781,8.930000305175781,8.399999618530273,8.899999618530273,1498900
2025-10-14,8.710000038146973,9.180000305175781,8.65999984741211,9.09000015258789,1152000
2025-10-15,9.25,9.59000015258789,9.199999809265137,9.5,1985500
2025-10-16,9.649999618530273,9.649999618530273,9.260000228881836,9.300000190734863,1070200
