date,open,high,low,close,volume
2025-08-14,3.450000047683716,3.4600000381469727,3.3399999141693115,3.390000104904175,117800
2025-08-15,3.4200000762939453,3.450000047683716,3.369999885559082,3.390000104904175,66900
2025-08-18,3.4600000381469727,3.5299999713897705,3.390000104904175,3.490000009536743,108600
2025-08-19,3.4600000381469727,3.5899999141693115,3.450000047683716,3.490000009536743,76100
2025-08-20,3.4800000190734863,3.5299999713897705,3.3299999237060547,3.490000009536743,82500
2025-08-21,3.4600000381469727,3.509999990463257,3.390000104904175,3.5,69100
2025-08-22,3.549999952316284,3.740000009536743,3.5,3.7300000190734863,198300
2025-08-25,3.7100000381469727,3.7799999713897705,3.6700000762939453,3.7699999809265137,100600
2025-08-26,3.7699999809265137,3.8499999046325684,3.7200000286102295,3.740000009536743,98700
2025-08-27,3.740000009536743,3.799999952316284,3.6500000953674316,3.690000057220459,61000
2025-08-28,3.690000057220459,3.690000057220459,3.549999952316284,3.630000114440918,95300
2025-08-29,3.630000114440918,3.6500000953674316,3.5999999046325684,3.630000114440918,56800
2025-09-02,3.549999952316284,3.569999933242798,3.4800000190734863,3.5,88700
2025-09-03,3.4800000190734863,3.5399999618530273,3.4600000381469727,3.4800000190734863,107900
2025-09-04,3.490000009536743,3.640000104904175,3.450000047683716,3.630000114440918,68200
2025-09-05,3.6700000762939453,3.700000047683716,3.609999895095825,3.6600000858306885,93000
2025-09-08,3.690000057220459,3.9200000762939453,3.630000114440918,3.9100000858306885,116200
2025-09-09,3.880000114440918,4.03000020980835,3.809999942779541,4.0,144800
2025-09-10,3.990000009536743,4.019999980926514,3.8499999046325684,3.890000104904175,105800
2025-09-11,3.880000114440918,3.9800000190734863,3.880000114440918,3.9200000762939453,78200
2025-09-12,3.9200000762939453,3.940000057220459,3.799999952316284,3.819999933242798,43300
2025-09-15,3.819999933242798,3.8499999046325684,3.799999952316284,3.8299999237060547,95200
2025-09-16,3.809999942779541,3.869999885559082,3.809999942779541,3.8399999141693115,59300
2025-09-17,3.880000114440918,3.950000047683716,3.75,3.759999990463257,70700
2025-09-18,3.809999942779541,3.9100000858306885,3.75,3.880000114440918,68200
2025-09-19,3.869999885559082,3.9000000953674316,3.700000047683716,3.700000047683716,191600
2025-09-22,3.7100000381469727,3.7799999713897705,3.700000047683716,3.740000009536743,90400
2025-09-23,3.7200000286102295,3.7699999809265137,3.569999933242798,3.5899999141693115,211600
2025-09-24,3.5999999046325684,3.7200000286102295,3.5999999046325684,3.7100000381469727,80700
2025-09-25,3.690000057220459,3.7300000190734863,3.6700000762939453,3.700000047683716,127700
