date,open,high,low,close,volume
2025-08-14,3.0399999618530273,3.049999952316284,2.8299999237060547,2.9000000953674316,95500
2025-08-15,2.880000114440918,3.0429999828338623,2.799999952316284,2.9809999465942383,78500
2025-08-18,3.2799999713897705,3.430000066757202,3.130000114440918,3.1700000762939453,351400
2025-08-19,3.1700000762939453,3.200000047683716,3.0199999809265137,3.0999999046325684,116400
2025-08-20,3.0899999141693115,3.125,3.009999990463257,3.0999999046325684,64300
2025-08-21,3.1500000953674316,3.23799991607666,2.9600000381469727,2.990000009536743,102600
2025-08-22,2.950000047683716,3.0999999046325684,2.9100000858306885,3.059999942779541,48500
2025-08-25,3.0899999141693115,3.0950000286102295,3.009999990463257,3.049999952316284,28500
2025-08-26,3.0199999809265137,3.069999933242798,2.9200000762939453,2.950000047683716,71800
2025-08-27,2.9200000762939453,3.0,2.799999952316284,2.8399999141693115,84500
2025-08-28,2.8299999237060547,2.9010000228881836,2.740000009536743,2.740000009536743,43700
2025-08-29,2.7899999618530273,2.8410000801086426,2.569999933242798,2.619999885559082,50000
2025-09-02,2.6500000953674316,2.7100000381469727,2.549999952316284,2.609999895095825,26300
2025-09-03,2.5999999046325684,2.6449999809265137,2.5399999618530273,2.549999952316284,25700
2025-09-04,2.5299999713897705,2.569999933242798,2.3299999237060547,2.450000047683716,105400
2025-09-05,2.4200000762939453,2.4549999237060547,2.309999942779541,2.3499999046325684,39500
2025-09-08,2.359999895095825,2.4609999656677246,2.359999895095825,2.390000104904175,41300
2025-09-09,2.3499999046325684,2.440000057220459,2.3499999046325684,2.440000057220459,33100
2025-09-10,2.4100000858306885,2.700000047683716,2.3299999237060547,2.4100000858306885,224100
2025-09-11,2.4000000953674316,2.4800000190734863,2.369999885559082,2.440000057220459,49100
2025-09-12,2.4100000858306885,2.5299999713897705,2.380000114440918,2.4800000190734863,46400
2025-09-15,2.5,2.5869998931884766,2.450000047683716,2.5,80500
2025-09-16,2.549999952316284,2.7699999809265137,2.549999952316284,2.740000009536743,234700
2025-09-17,2.7699999809265137,2.8889999389648438,2.5999999046325684,2.6700000762939453,421600
2025-09-18,2.640000104904175,2.6600000858306885,2.5,2.5299999713897705,91400
2025-09-19,2.509999990463257,2.619999885559082,2.4700000286102295,2.5199999809265137,84100
2025-09-22,2.559999942779541,2.559999942779541,2.4700000286102295,2.509999990463257,71500
2025-09-23,2.509999990463257,2.5299999713897705,2.424999952316284,2.440000057220459,50600
2025-09-24,2.4100000858306885,2.5299999713897705,2.4000000953674316,2.490000009536743,49500
2025-09-25,2.440000057220459,2.5,2.4200000762939453,2.4700000286102295,48600
2025-09-26,2.4700000286102295,2.486999988555908,2.384999990463257,2.440000057220459,28700
2025-09-29,2.5,2.5,2.4000000953674316,2.4600000381469727,36300
2025-09-30,2.430000066757202,2.4749999046325684,2.4000000953674316,2.440000057220459,19500
2025-10-01,2.4600000381469727,2.4800000190734863,2.430000066757202,2.4539999961853027,19000
2025-10-02,2.4800000190734863,2.559999942779541,2.4600000381469727,2.5199999809265137,52800
2025-10-03,2.5299999713897705,2.569999933242798,2.4600000381469727,2.5,58800
2025-10-06,2.5,2.619999885559082,2.4700000286102295,2.4739999771118164,36000
2025-10-07,2.5,2.5299999713897705,2.390000104904175,2.4130001068115234,55400
2025-10-08,2.430000066757202,2.440000057220459,2.377000093460083,2.4200000762939453,28900
2025-10-09,2.4600000381469727,2.4600000381469727,2.3459999561309814,2.4200000762939453,101700
2025-10-10,2.440000057220459,2.447999954223633,2.2699999809265137,2.299999952316284,80500
2025-10-13,2.369999885559082,2.369999885559082,2.2899999618530273,2.3399999141693115,34600
2025-10-14,2.309999942779541,2.312000036239624,2.25,2.2699999809265137,62700
2025-10-15,2.299999952316284,2.299999952316284,2.2100000381469727,2.2300000190734863,34500
2025-10-16,2.240000009536743,2.240000009536743,2.0899999141693115,2.140000104904175,70500
2025-10-17,2.109999895095825,2.140000104904175,2.059999942779541,2.0899999141693115,44100
2025-10-20,2.0999999046325684,2.180000066757202,2.0999999046325684,2.1500000953674316,15600
2025-10-21,2.1500000953674316,2.5199999809265137,2.1500000953674316,2.2239999771118164,242200
2025-10-22,2.2899999618530273,2.3499999046325684,2.119999885559082,2.190000057220459,91500
2025-10-23,2.1600000858306885,2.259999990463257,2.140000104904175,2.240000009536743,38100
2025-10-24,2.3399999141693115,2.36899995803833,2.200000047683716,2.2300000190734863,40600
2025-10-27,2.2100000381469727,2.25,2.200000047683716,2.2200000286102295,14900
2025-10-28,2.190000057220459,2.240000009536743,2.1619999408721924,2.2100000381469727,30600
2025-10-29,2.2200000286102295,2.2200000286102295,2.0,2.059999942779541,537600
2025-10-30,2.009999990463257,2.0299999713897705,1.909999966621399,1.940000057220459,79500
2025-10-31,1.940000057220459,1.940000057220459,1.840000033378601,1.840000033378601,48200
2025-11-03,1.8899999856948853,1.9299999475479126,1.8200000524520874,1.8700000047683716,65200
2025-11-04,1.8300000429153442,1.909999966621399,1.8200000524520874,1.8200000524520874,45100
2025-11-05,1.809999942779541,1.8200000524520874,1.7300000190734863,1.7599999904632568,25700
2025-11-06,1.75,1.75,1.6100000143051147,1.6100000143051147,39200
2025-11-07,1.590000033378601,1.649999976158142,1.4670000076293945,1.5800000429153442,56400
2025-11-10,1.6100000143051147,1.7269999980926514,1.5700000524520874,1.7000000476837158,41300
2025-11-11,1.7100000381469727,1.7100000381469727,1.5499999523162842,1.6100000143051147,33600
2025-11-12,1.6200000047683716,1.6549999713897705,1.590000033378601,1.6299999952316284,37900
2025-11-13,1.6100000143051147,1.6200000047683716,1.4800000190734863,1.4800000190734863,57000
2025-11-14,1.4500000476837158,1.5369999408721924,1.440000057220459,1.4700000286102295,34600
2025-11-17,1.5199999809265137,1.5729999542236328,1.4600000381469727,1.5299999713897705,61700
2025-11-18,1.5299999713897705,1.590999960899353,1.5299999713897705,1.5870000123977661,13000
2025-11-19,1.559999942779541,1.7899999618530273,1.559999942779541,1.7699999809265137,120000
2025-11-20,1.7899999618530273,1.940000057220459,1.600000023841858,1.6100000143051147,37100
2025-11-21,1.7300000190734863,1.7300000190734863,1.6399999856948853,1.649999976158142,15000
2025-11-24,1.6699999570846558,1.7100000381469727,1.590000033378601,1.600000023841858,18800
2025-11-25,1.6100000143051147,1.7100000381469727,1.6100000143051147,1.7000000476837158,27900
2025-11-26,1.7100000381469727,2.0999999046325684,1.7100000381469727,1.9500000476837158,177100
2025-11-28,1.9700000286102295,2.2100000381469727,1.940000057220459,2.009999990463257,198700
2025-12-01,1.9600000381469727,1.9600000381469727,1.7599999904632568,1.7599999904632568,65100
2025-12-02,1.7599999904632568,1.8339999914169312,1.75,1.781000018119812,29800
2025-12-03,1.7599999904632568,1.9700000286102295,1.7599999904632568,1.809999942779541,54200
2025-12-04,1.7999999523162842,1.7999999523162842,1.7350000143051147,1.7400000095367432,16000
2025-12-05,1.7400000095367432,1.809999942779541,1.715999960899353,1.7300000190734863,20000
2025-12-08,1.690000057220459,1.690000057220459,1.5230000019073486,1.5499999523162842,172500
2025-12-09,1.5299999713897705,1.7999999523162842,1.5199999809265137,1.75,86100
2025-12-10,1.7200000286102295,1.7960000038146973,1.6349999904632568,1.690000057220459,48000
2025-12-11,1.715000033378601,1.75,1.6239999532699585,1.7100000381469727,38000
2025-12-12,1.7100000381469727,1.7430000305175781,1.625,1.649999976158142,34900
2025-12-15,1.6649999618530273,1.6649999618530273,1.600000023841858,1.6100000143051147,22500
2025-12-16,1.5850000381469727,1.600000023841858,1.4850000143051147,1.5,37300
2025-12-17,1.559999942779541,1.559999942779541,1.4800000190734863,1.4900000095367432,17800
2025-12-18,1.4500000476837158,1.5399999618530273,1.399999976158142,1.4700000286102295,20200
2025-12-19,1.5,1.5490000247955322,1.4500000476837158,1.4600000381469727,39700
2025-12-22,1.5329999923706055,1.5329999923706055,1.3650000095367432,1.409999966621399,42200
2025-12-23,1.4199999570846558,1.559999942779541,1.399999976158142,1.4700000286102295,38500
2025-12-24,1.4900000095367432,1.4900000095367432,1.440000057220459,1.4500000476837158,14300
2025-12-26,1.4800000190734863,1.5299999713897705,1.4199999570846558,1.4700000286102295,41700
2025-12-29,1.4299999475479126,1.5499999523162842,1.409999966621399,1.440000057220459,37100
2025-12-30,1.4299999475479126,1.4769999980926514,1.3799999952316284,1.4470000267028809,52500
2025-12-31,1.4600000381469727,1.590000033378601,1.440000057220459,1.4900000095367432,94200
2026-01-02,1.5,1.5859999656677246,1.5,1.5750000476837158,23500
2026-01-05,1.6100000143051147,1.8200000524520874,1.5800000429153442,1.7999999523162842,142800
2026-01-06,1.75,1.7899999618530273,1.600000023841858,1.7899999618530273,1164200
2026-01-07,1.809999942779541,1.809999942779541,1.649999976158142,1.690000057220459,248100
2026-01-08,1.75,1.75,1.5700000524520874,1.6100000143051147,210000
2026-01-09,1.5700000524520874,1.6100000143051147,1.5,1.590000033378601,37700
2026-01-12,1.6100000143051147,1.6200000047683716,1.534999966621399,1.600000023841858,24000
2026-01-13,1.6299999952316284,1.649999976158142,1.5399999618530273,1.590000033378601,38900
2026-01-14,1.659999966621399,1.7899999618530273,1.559999942779541,1.7799999713897705,240400
2026-01-15,1.7899999618530273,1.9700000286102295,1.7100000381469727,1.8799999952316284,210200
2026-01-16,1.909999966621399,1.9600000381469727,1.809999942779541,1.8200000524520874,44400
2026-01-20,1.7999999523162842,1.909999966621399,1.781000018119812,1.8700000047683716,59800
2026-01-21,1.8700000047683716,1.8949999809265137,1.75,1.8200000524520874,69900
2026-01-22,1.8300000429153442,1.8799999952316284,1.7799999713897705,1.840000033378601,36100
2026-01-23,1.840000033378601,1.9290000200271606,1.815000057220459,1.8300000429153442,19700
2026-01-26,1.8300000429153442,2.049999952316284,1.8200000524520874,1.9700000286102295,209800
2026-01-27,2.0,2.130000114440918,1.8700000047683716,1.9299999475479126,190700
2026-01-28,1.9199999570846558,1.934999942779541,1.8700000047683716,1.899999976158142,28300
2026-01-29,1.899999976158142,1.9539999961853027,1.809999942779541,1.909999966621399,24500
2026-01-30,1.909999966621399,1.934999942779541,1.878999948501587,1.8899999856948853,11800
2026-02-02,1.8700000047683716,1.8799999952316284,1.7599999904632568,1.7599999904632568,47900
2026-02-03,1.7999999523162842,1.7999999523162842,1.649999976158142,1.690000057220459,34100
2026-02-04,1.690000057220459,1.690000057220459,1.6200000047683716,1.649999976158142,20800
2026-02-05,1.649999976158142,1.659999966621399,1.5850000381469727,1.590000033378601,27000
2026-02-06,1.600000023841858,1.774999976158142,1.600000023841858,1.7300000190734863,24300
2026-02-09,1.75,1.7999999523162842,1.649999976158142,1.7699999809265137,31000
2026-02-10,1.7999999523162842,1.7999999523162842,1.7059999704360962,1.7100000381469727,10100
2026-02-11,1.75,1.7599999904632568,1.7100000381469727,1.7300000190734863,13400
2026-02-12,1.8899999856948853,1.9900000095367432,1.6299999952316284,1.649999976158142,142400
2026-02-13,1.6699999570846558,1.7699999809265137,1.6380000114440918,1.6699999570846558,35700
2026-02-17,1.690000057220459,1.7050000429153442,1.6200000047683716,1.6200000047683716,9700
2026-02-18,1.6699999570846558,1.7050000429153442,1.600000023841858,1.7050000429153442,26200
2026-02-19,1.7100000381469727,1.7100000381469727,1.6649999618530273,1.6699999570846558,10100
2026-02-20,1.6970000267028809,1.7599999904632568,1.6699999570846558,1.7000000476837158,19700
2026-02-23,1.659999966621399,1.7400000095367432,1.649999976158142,1.6799999475479126,6900
2026-02-24,1.7400000095367432,1.8550000190734863,1.649999976158142,1.7899999618530273,57900
2026-02-25,1.7300000190734863,1.7929999828338623,1.7200000286102295,1.7599999904632568,13000
2026-02-26,1.75,1.9800000190734863,1.75,1.8600000143051147,128000
2026-02-27,1.7999999523162842,1.8700000047683716,1.7200000286102295,1.7899999618530273,36500
2026-03-02,1.75,1.809999942779541,1.7000000476837158,1.7000000476837158,29900
2026-03-03,1.7000000476837158,1.7380000352859497,1.649999976158142,1.6799999475479126,26200
2026-03-04,1.7000000476837158,1.7400000095367432,1.659999966621399,1.7000000476837158,17300
2026-03-05,1.7000000476837158,1.7300000190734863,1.690000057220459,1.7000000476837158,19600
2026-03-06,1.6799999475479126,1.7300000190734863,1.6799999475479126,1.7200000286102295,25800
2026-03-09,1.7400000095367432,2.0,1.7400000095367432,1.9500000476837158,679600
2026-03-10,1.9500000476837158,1.9500000476837158,1.8519999980926514,1.9199999570846558,115300
2026-03-11,1.9199999570846558,1.9700000286102295,1.8600000143051147,1.940000057220459,41400
2026-03-12,1.8990000486373901,1.9199999570846558,1.8309999704360962,1.840000033378601,49400
2026-03-13,1.850000023841858,2.0399999618530273,1.850000023841858,1.9900000095367432,101367
