ticker,rows,start,end,shares_rows,shares_start,shares_end,shares_status,shares_missing,turnover_missing,status
AFGC,744,2020-01-21,2022-12-30,51,2016-11-15,2021-03-17,ok,0.0,0.0,ok
AFGD,650,2020-06-04,2022-12-30,0,,,missing,650.0,650.0,ok
AFGE,576,2020-09-18,2022-12-30,135,2017-05-01,2018-09-19,ok,0.0,0.0,ok
AFL,5787,2000-01-03,2022-12-30,216,2015-11-04,2022-11-05,ok,3985.0,3985.0,ok
AG,4051,2006-11-28,2022-12-30,1064,2017-04-29,2022-12-30,ok,2622.0,2622.0,ok
AGCO,5787,2000-01-03,2022-12-30,209,2015-11-09,2022-11-17,ok,3988.0,3988.0,ok
AGD,4137,2006-07-27,2022-12-30,200,2013-04-01,2022-11-12,ok,1679.0,1679.0,ok
AGI,4952,2003-05-02,2022-12-30,1037,2017-04-29,2022-12-30,ok,3523.0,3523.0,ok
AGL,433,2021-04-15,2022-12-30,53,2021-04-16,2022-11-09,ok,1.0,1.0,ok
AGM,5787,2000-01-03,2022-12-30,928,2015-11-09,2022-12-31,ok,3988.0,3988.0,ok
AGM$D,0,,,0,,,empty_ohlc,,,empty
AGM$E,0,,,0,,,empty_ohlc,,,empty
AGM$F,0,,,0,,,empty_ohlc,,,empty
AGM$G,0,,,0,,,empty_ohlc,,,empty
AGM$H,0,,,0,,,empty_ohlc,,,empty
AGM-A,5787,2000-01-03,2022-12-30,887,2018-11-13,2022-12-31,ok,4747.0,4747.0,ok
AGO,4706,2004-04-23,2022-12-30,226,2015-11-15,2022-12-29,ok,2912.0,2912.0,ok
AGRO,3002,2011-01-28,2022-12-30,199,2015-11-13,2022-11-22,ok,1207.0,1207.0,ok
AGX,5787,2000-01-03,2022-12-30,210,2015-12-10,2022-12-11,ok,4010.0,4010.0,ok
AHH,2431,2013-05-08,2022-12-30,229,2015-12-09,2022-11-25,ok,653.0,653.0,ok
AHH$A,0,,,0,,,empty_ohlc,,,empty
AHL,0,,,0,,,empty_ohlc,,,empty
AHL$D,0,,,0,,,empty_ohlc,,,empty
AHL$E,0,,,0,,,empty_ohlc,,,empty
AHL$F,0,,,0,,,empty_ohlc,,,empty
AHR,0,,,0,,,empty_ohlc,,,empty
AHT,4872,2003-08-26,2022-12-30,256,2015-11-05,2022-12-31,ok,3071.0,3071.0,ok
AHT$D,0,,,0,,,empty_ohlc,,,empty
AHT$F,0,,,0,,,empty_ohlc,,,empty
AHT$G,0,,,0,,,empty_ohlc,,,empty
AHT$H,0,,,0,,,empty_ohlc,,,empty
AHT$I,0,,,0,,,empty_ohlc,,,empty
AI,519,2020-12-09,2022-12-30,229,2015-11-02,2022-12-11,ok,0.0,0.0,ok
AIG,5787,2000-01-03,2022-12-30,211,2015-11-02,2022-11-09,ok,3983.0,3983.0,ok
AII,0,,,0,,,empty_ohlc,,,empty
AIIA,0,,,0,,,empty_ohlc,,,empty
AIIA-R,0,,,0,,,empty_ohlc,,,empty
AIIA-U,0,,,0,,,empty_ohlc,,,empty
AIN,5787,2000-01-03,2022-12-30,236,2015-10-28,2022-11-25,ok,3980.0,3980.0,ok
AIO,800,2019-10-29,2022-12-30,62,2020-05-07,2022-11-06,ok,131.0,131.0,ok
AIR,5787,2000-01-03,2022-12-30,208,2015-10-07,2022-12-22,ok,3965.0,3965.0,ok
AIT,5787,2000-01-03,2022-12-30,237,2015-11-04,2023-01-01,ok,3985.0,3985.0,ok
AIV,5787,2000-01-03,2022-12-30,203,2015-11-05,2022-11-25,ok,3986.0,3986.0,ok
AIZ,4760,2004-02-05,2022-12-30,218,2015-11-03,2022-12-21,ok,2957.0,2957.0,ok
AIZN,528,2020-11-25,2022-12-30,0,,,missing,528.0,528.0,ok
AJG,5787,2000-01-03,2022-12-30,193,2015-10-28,2022-11-05,ok,3980.0,3980.0,ok
AKA,322,2021-09-22,2022-12-30,35,2021-09-23,2022-11-25,ok,1.0,1.0,ok
AKAF,0,,,0,,,empty_ohlc,,,empty
AKO-A,5787,2000-01-03,2022-12-30,348,2017-04-29,2022-12-31,ok,4358.0,4358.0,ok
AKO-B,5787,2000-01-03,2022-12-30,148,2017-04-29,2022-10-19,ok,4358.0,4358.0,ok
AKR,5787,2000-01-03,2022-12-30,254,2015-11-09,2022-12-30,ok,3988.0,3988.0,ok
AL,2946,2011-04-19,2022-12-30,197,2015-11-05,2022-11-12,ok,1145.0,1145.0,ok
ALB,5787,2000-01-03,2022-12-30,223,2015-11-09,2022-11-09,ok,3988.0,3988.0,ok
ALB$A,0,,,0,,,empty_ohlc,,,empty
ALC,941,2019-04-09,2022-12-30,750,2019-04-14,2022-12-30,ok,4.0,4.0,ok
ALEX,2655,2012-06-14,2022-12-30,224,2015-11-06,2022-11-25,ok,855.0,855.0,ok
ALG,5787,2000-01-03,2022-12-30,214,2015-11-06,2022-12-08,ok,3987.0,3987.0,ok
ALH,0,,,0,,,empty_ohlc,,,empty
ALIT,620,2020-07-17,2022-12-30,61,2021-08-14,2022-11-29,ok,272.0,272.0,ok
ALK,5787,2000-01-03,2022-12-30,234,2015-11-04,2022-11-09,ok,3985.0,3985.0,ok
ALL,5787,2000-01-03,2022-12-30,211,2015-11-02,2022-11-09,ok,3983.0,3983.0,ok
ALL$B,0,,,0,,,empty_ohlc,,,empty
ALL$H,0,,,0,,,empty_ohlc,,,empty
ALL$I,0,,,0,,,empty_ohlc,,,empty
ALL$J,0,,,0,,,empty_ohlc,,,empty
ALLE,2296,2013-11-18,2022-12-30,203,2015-10-29,2022-10-29,ok,490.0,490.0,ok
ALLY,2249,2014-01-28,2022-12-30,215,2015-10-29,2022-11-09,ok,443.0,443.0,ok
ALSN,2718,2012-03-15,2022-12-30,191,2015-10-27,2022-12-05,ok,910.0,910.0,ok
ALTG,930,2019-04-25,2022-12-30,98,2020-02-21,2022-11-25,ok,208.0,208.0,ok
ALTG$A,0,,,0,,,empty_ohlc,,,empty
ALUB,0,,,0,,,empty_ohlc,,,empty
ALUB-U,0,,,0,,,empty_ohlc,,,empty
ALUB-W,0,,,0,,,empty_ohlc,,,empty
ALUR,445,2021-03-29,2022-12-30,0,,,missing,445.0,445.0,ok
ALUR-W,0,,,0,,,empty_ohlc,,,empty
ALV,5787,2000-01-03,2022-12-30,240,2015-10-23,2022-10-22,ok,3977.0,3977.0,ok
ALX,5787,2000-01-03,2022-12-30,145,2015-08-24,2022-11-25,ok,3934.0,3934.0,ok
AM,1426,2017-05-04,2022-12-30,240,2015-09-24,2022-11-25,ok,0.0,0.0,ok
AMBP,355,2021-08-05,2022-12-30,31,2021-08-25,2022-11-01,ok,14.0,14.0,ok
AMBQ,0,,,0,,,empty_ohlc,,,empty
AMC,2275,2013-12-18,2022-12-30,195,2015-08-05,2021-06-04,ok,409.0,409.0,ok
AMCR,2676,2012-05-15,2022-12-30,131,2019-06-17,2022-10-13,ok,1782.0,1782.0,ok
AME,5787,2000-01-03,2022-12-30,208,2015-11-05,2022-11-05,ok,3986.0,3986.0,ok
AMG,5787,2000-01-03,2022-12-30,233,2015-11-09,2023-01-01,ok,3988.0,3988.0,ok
AMH,2372,2013-08-01,2022-12-30,248,2015-11-06,2022-11-25,ok,572.0,572.0,ok
AMH$G,0,,,0,,,empty_ohlc,,,empty
AMH$H,0,,,0,,,empty_ohlc,,,empty
