ticker,rows,start,end,shares_rows,shares_start,shares_end,shares_status,failure_reason,status,shares_missing,turnover_missing
ABPWW,0,,,0,,,empty_ohlc,possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01),empty,,
ABSI,365,2021-07-22,2022-12-30,0,,,missing,,ok,365.0,365.0
ABTC,1222,2018-02-26,2022-12-30,0,,,missing,,ok,1222.0,1222.0
ABTS,2198,2014-04-10,2022-12-30,0,,,missing,,ok,2198.0,2198.0
ABUS,3887,2007-07-26,2022-12-30,0,,,missing,,ok,3887.0,3887.0
ABVC,4567,2004-11-10,2022-12-30,0,,,missing,,ok,4567.0,4567.0
ABVE,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ABVEW,0,,,0,,,empty_ohlc,possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01),empty,,
ABVX,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ACAD,4682,2004-05-27,2022-12-30,0,,,missing,,ok,4682.0,4682.0
ACB,2133,2014-07-15,2022-12-30,0,,,missing,,ok,2133.0,2133.0
ACCL,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ACDC,160,2022-05-13,2022-12-30,0,,,missing,,ok,160.0,160.0
ACET,1242,2018-01-26,2022-12-30,0,,,missing,,ok,1242.0,1242.0
ACFN,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
ACGL,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
ACGLN,399,2021-06-03,2022-12-30,0,,,missing,,ok,399.0,399.0
ACGLO,1351,2017-08-21,2022-12-30,0,,,missing,,ok,1351.0,1351.0
ACHC,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
ACHV,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
ACIC,3814,2007-11-07,2022-12-30,0,,,missing,,ok,3814.0,3814.0
ACIU,1579,2016-09-23,2022-12-30,0,,,missing,,ok,1579.0,1579.0
ACIW,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
ACLS,5656,2000-07-11,2022-12-30,0,,,missing,,ok,5656.0,5656.0
ACLX,228,2022-02-04,2022-12-30,0,,,missing,,ok,228.0,228.0
ACMR,1299,2017-11-02,2022-12-30,0,,,missing,,ok,1299.0,1299.0
ACNB,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
ACNT,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
ACOG,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ACON,175,2022-04-22,2022-12-30,0,,,missing,,ok,175.0,175.0
ACONW,0,,,0,,,empty_ohlc,possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01),empty,,
ACRS,1823,2015-10-06,2022-12-30,0,,,missing,,ok,1823.0,1823.0
ACRV,32,2022-11-15,2022-12-30,0,,,missing,,ok,32.0,32.0
ACT,326,2021-09-16,2022-12-30,0,,,missing,,ok,326.0,326.0
ACTG,5046,2002-12-16,2022-12-30,0,,,missing,,ok,5046.0,5046.0
ACTU,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ACXP,383,2021-06-25,2022-12-30,0,,,missing,,ok,383.0,383.0
ADACU,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ADAG,478,2021-02-09,2022-12-30,0,,,missing,,ok,478.0,478.0
ADAM,4643,2004-07-26,2022-12-30,0,,,missing,,ok,4643.0,4643.0
ADAMG,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ADAMH,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ADAMI,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ADAML,380,2021-06-30,2022-12-30,0,,,missing,,ok,380.0,380.0
ADAMM,807,2019-10-18,2022-12-30,0,,,missing,,ok,807.0,807.0
ADAMN,1302,2017-10-30,2022-12-30,0,,,missing,,ok,1302.0,1302.0
ADAMO,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ADAMZ,281,2021-11-18,2022-12-30,0,,,missing,,ok,281.0,281.0
ADEA,4816,2003-11-13,2022-12-30,0,,,missing,,ok,4816.0,4816.0
ADGM,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ADIL,1116,2018-07-27,2022-12-30,0,,,missing,,ok,1116.0,1116.0
ADMA,2318,2013-10-17,2022-12-30,0,,,missing,,ok,2318.0,2318.0
ADPT,886,2019-06-27,2022-12-30,0,,,missing,,ok,886.0,886.0
ADSE,458,2021-03-10,2022-12-30,0,,,missing,,ok,458.0,458.0
ADSEW,0,,,0,,,empty_ohlc,possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01),empty,,
ADTN,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
