ticker,rows,start,end,shares_rows,shares_start,shares_end,shares_status,failure_reason,status,shares_missing,turnover_missing
AACB,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
AACBR,0,,,0,,,missing_ohlc,possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01),missing,,
AACBU,0,,,0,,,missing_ohlc,YFRateLimitError('Too Many Requests. Rate limited. Try after a while.'),missing,,
AAPG,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
AARD,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
ABLVW,0,,,0,,,missing_ohlc,possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01),missing,,
ABPWW,0,,,0,,,missing_ohlc,possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01),missing,,
ABVE,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
ABVEW,0,,,0,,,missing_ohlc,possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01),missing,,
ABVX,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
ACCL,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
ACOG,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
ACONW,0,,,0,,,missing_ohlc,possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01),missing,,
ACTU,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
ADACU,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
ADAMG,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
ADAMH,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
ADAMI,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
ADAMO,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
ADGM,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
ADSEW,0,,,0,,,missing_ohlc,possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01),missing,,
ADUR,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
ADVB,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
AEAQ,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
AEAQU,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
AEAQW,0,,,0,,,missing_ohlc,possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01),missing,,
AEBI,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
AENTW,0,,,0,,,missing_ohlc,possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01),missing,,
AERTW,0,,,0,,,missing_ohlc,possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01),missing,,
AEVAW,0,,,0,,,missing_ohlc,possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01),missing,,
AFJK,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
AFJKR,0,,,0,,,missing_ohlc,possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01),missing,,
AFJKU,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
AFRIW,0,,,0,,,missing_ohlc,possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01),missing,,
AGCC,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
AGH,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
AGMB,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
AGNCZ,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
AGRZ,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
AHMA,0,,,0,,,missing_ohlc,"possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 1167627600, endDate = 1672549200"")",missing,,
AIIOW,0,,,0,,,missing_ohlc,possibly delisted; no price data found  (1d 2007-01-01 -> 2023-01-01),missing,,
